"lang"
{
	"Language"		"English"

		"DOTA_Tooltip_ability_elementalbuilder_spawn_waterbender"                         "Spawn Waterbender"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_waterbender_Description"             "Attack: Normal/Heavy\nSkills: ---"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_waterbender_atk_damage_tooltip"      "ATK DAMAGE:"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_waterbender_atk_speed_tooltip"       "ATK RATE:"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_waterbender_atk_range_tooltip"       "ATK RANGE:"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_waterbender_health_tooltip"          "HEALTH:"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_waterbender_armor_tooltip"           "ARMOR:"
		"DOTA_Tooltip_ability_elementalbuilder_spawn_waterbender_food_cost"               "FOOD COST:"

		"DOTA_Tooltip_ability_increase_food_limit"                                        "Increase Food Limit"
		"DOTA_Tooltip_ability_increase_food_limit_Description"                            "Increases maximum food limit."
		"DOTA_Tooltip_ability_increase_food_limit_tango_cost"                             "TANGO COST:"
		"DOTA_Tooltip_ability_increase_food_limit_limit_increament"                       "LIMIT INCREAMENT:"

		"DOTA_Tooltip_ability_send_incomeunit_centaur"                                    "Send Centaur"
		"DOTA_Tooltip_ability_send_incomeunit_centaur_Description"                        "Skills: ---"
		"DOTA_Tooltip_ability_send_incomeunit_centaur_tango_cost"                         "TANGO COST:"
		"DOTA_Tooltip_ability_send_incomeunit_centaur_income"                             "INCOME:"

		"DOTA_Tooltip_ability_send_incomeunit_ghost"                                      "Send Ghost"
		"DOTA_Tooltip_ability_send_incomeunit_ghost_Description"                          "Skills: ---"
		"DOTA_Tooltip_ability_send_incomeunit_ghost_tango_cost"                           "TANGO COST:"
		"DOTA_Tooltip_ability_send_incomeunit_ghost_income"                               "INCOME:"

		"DOTA_Tooltip_ability_send_incomeunit_golem"                                      "Send Golem"
		"DOTA_Tooltip_ability_send_incomeunit_golem_Description"                          "Skills: ---"
		"DOTA_Tooltip_ability_send_incomeunit_golem_tango_cost"                           "TANGO COST:"
		"DOTA_Tooltip_ability_send_incomeunit_golem_income"                               "INCOME:"

		"DOTA_Tooltip_ability_send_incomeunit_harpy"                                      "Send Harpy"
		"DOTA_Tooltip_ability_send_incomeunit_harpy_Description"                          "Skills: ---"
		"DOTA_Tooltip_ability_send_incomeunit_harpy_tango_cost"                           "TANGO COST:"
		"DOTA_Tooltip_ability_send_incomeunit_harpy_income"                               "INCOME:"

		"DOTA_Tooltip_ability_send_incomeunit_hill_troll_shaman"                          "Send Hill Troll Shaman"
		"DOTA_Tooltip_ability_send_incomeunit_hill_troll_shaman_Description"              "Skills: Regen Aura"
		"DOTA_Tooltip_ability_send_incomeunit_hill_troll_shaman_tango_cost"               "TANGO COST:"
		"DOTA_Tooltip_ability_send_incomeunit_hill_troll_shaman_income"                   "INCOME:"

		"DOTA_Tooltip_ability_send_incomeunit_hill_troll_warrior"                         "Send Hill Troll Warrior"
		"DOTA_Tooltip_ability_send_incomeunit_hill_troll_warrior_Description"             "Skills: ---"
		"DOTA_Tooltip_ability_send_incomeunit_hill_troll_warrior_tango_cost"              "TANGO COST:"
		"DOTA_Tooltip_ability_send_incomeunit_hill_troll_warrior_income"                  "INCOME:"

		"DOTA_Tooltip_ability_send_incomeunit_kobold"                                     "Send Kobold"
		"DOTA_Tooltip_ability_send_incomeunit_kobold_Description"                         "Skills: ---"
		"DOTA_Tooltip_ability_send_incomeunit_kobold_tango_cost"                          "TANGO COST:"
		"DOTA_Tooltip_ability_send_incomeunit_kobold_income"                              "INCOME:"

		"DOTA_Tooltip_ability_send_incomeunit_little_centaur"                             "Send Little Centaur"
		"DOTA_Tooltip_ability_send_incomeunit_little_centaur_Description"                 "Skills: ---"
		"DOTA_Tooltip_ability_send_incomeunit_little_centaur_tango_cost"                  "TANGO COST:"
		"DOTA_Tooltip_ability_send_incomeunit_little_centaur_income"                      "INCOME:"

		"DOTA_Tooltip_ability_send_incomeunit_little_wolf"                                "Send Little Wolf"
		"DOTA_Tooltip_ability_send_incomeunit_little_wolf_Description"                    "Skills: Critical Strike"
		"DOTA_Tooltip_ability_send_incomeunit_little_wolf_tango_cost"                     "TANGO COST:"
		"DOTA_Tooltip_ability_send_incomeunit_little_wolf_income"                         "INCOME:"

		"DOTA_Tooltip_ability_send_incomeunit_ogre_warrior"                               "Send Ogre Warrior"
		"DOTA_Tooltip_ability_send_incomeunit_ogre_warrior_Description"                   "Skills: ---"
		"DOTA_Tooltip_ability_send_incomeunit_ogre_warrior_tango_cost"                    "TANGO COST:"
		"DOTA_Tooltip_ability_send_incomeunit_ogre_warrior_income"                        "INCOME:"

		"DOTA_Tooltip_ability_send_incomeunit_satyr"                                      "Send Satyr"
		"DOTA_Tooltip_ability_send_incomeunit_satyr_Description"                          "Skills: ---"
		"DOTA_Tooltip_ability_send_incomeunit_satyr_tango_cost"                           "TANGO COST:"
		"DOTA_Tooltip_ability_send_incomeunit_satyr_income"                               "INCOME:"

		"DOTA_Tooltip_ability_send_incomeunit_wolf"                                       "Send Wolf"
		"DOTA_Tooltip_ability_send_incomeunit_wolf_Description"                           "Skills: Critical Strike"
		"DOTA_Tooltip_ability_send_incomeunit_wolf_tango_cost"                            "TANGO COST:"
		"DOTA_Tooltip_ability_send_incomeunit_wolf_income"                                "INCOME:"

		"DOTA_Tooltip_ability_send_incomeunit_ancient_golem"                              "Send Ancient Golem"
		"DOTA_Tooltip_ability_send_incomeunit_ancient_golem_Description"                  "Skills: ---"
		"DOTA_Tooltip_ability_send_incomeunit_ancient_golem_tango_cost"                   "TANGO COST:"
		"DOTA_Tooltip_ability_send_incomeunit_ancient_golem_income"                       "INCOME:"

		"DOTA_Tooltip_ability_send_incomeunit_beast"                                      "Send Beast"
		"DOTA_Tooltip_ability_send_incomeunit_beast_Description"                          "Skills: Swiftness Aura"
		"DOTA_Tooltip_ability_send_incomeunit_beast_tango_cost"                           "TANGO COST:"
		"DOTA_Tooltip_ability_send_incomeunit_beast_income"                               "INCOME:"

		"DOTA_Tooltip_ability_send_incomeunit_big_lizard"                                 "Send Big Lizard"
		"DOTA_Tooltip_ability_send_incomeunit_big_lizard_Description"                     "Skills: Armor + Health Regen Aura"
		"DOTA_Tooltip_ability_send_incomeunit_big_lizard_tango_cost"                      "TANGO COST:"
		"DOTA_Tooltip_ability_send_incomeunit_big_lizard_income"                          "INCOME:"

		"DOTA_Tooltip_ability_send_incomeunit_black_drake"                                "Send Black Drake"
		"DOTA_Tooltip_ability_send_incomeunit_black_drake_Description"                    "Skills: ---"
		"DOTA_Tooltip_ability_send_incomeunit_black_drake_tango_cost"                     "TANGO COST:"
		"DOTA_Tooltip_ability_send_incomeunit_black_drake_income"                         "INCOME:"

		"DOTA_Tooltip_ability_send_incomeunit_diablo"                                     "Send Diablo"
		"DOTA_Tooltip_ability_send_incomeunit_diablo_Description"                         "Skills: ---"
		"DOTA_Tooltip_ability_send_incomeunit_diablo_tango_cost"                          "TANGO COST:"
		"DOTA_Tooltip_ability_send_incomeunit_diablo_income"                              "INCOME:"

		"DOTA_Tooltip_ability_send_incomeunit_fleshgolem"                                 "Send Fleshgolem"
		"DOTA_Tooltip_ability_send_incomeunit_fleshgolem_Description"                     "Skills: Heartstopper"
		"DOTA_Tooltip_ability_send_incomeunit_fleshgolem_tango_cost"                      "TANGO COST:"
		"DOTA_Tooltip_ability_send_incomeunit_fleshgolem_income"                          "INCOME:"

		"DOTA_Tooltip_ability_send_incomeunit_hulk"                                       "Send Hulk"
		"DOTA_Tooltip_ability_send_incomeunit_hulk_Description"                           "Skills: Damage Aura"
		"DOTA_Tooltip_ability_send_incomeunit_hulk_tango_cost"                            "TANGO COST:"
		"DOTA_Tooltip_ability_send_incomeunit_hulk_income"                                "INCOME:"

		"DOTA_Tooltip_ability_send_incomeunit_jellyfish"                                  "Send Jellyfish"
		"DOTA_Tooltip_ability_send_incomeunit_jellyfish_Description"                      "Skills: ---"
		"DOTA_Tooltip_ability_send_incomeunit_jellyfish_tango_cost"                       "TANGO COST:"
		"DOTA_Tooltip_ability_send_incomeunit_jellyfish_income"                           "INCOME:"
		
		"DOTA_Tooltip_ability_send_incomeunit_lizard"                                     "Send Lizard"
		"DOTA_Tooltip_ability_send_incomeunit_lizard_Description"                         "Skills: Armor Aura"
		"DOTA_Tooltip_ability_send_incomeunit_lizard_tango_cost"                          "TANGO COST:"
		"DOTA_Tooltip_ability_send_incomeunit_lizard_income"                              "INCOME:"

		"DOTA_Tooltip_ability_send_incomeunit_rosh"                                       "Send Rosh"
		"DOTA_Tooltip_ability_send_incomeunit_rosh_Description"                           "Skills: ---"
		"DOTA_Tooltip_ability_send_incomeunit_rosh_tango_cost"                            "TANGO COST:"
		"DOTA_Tooltip_ability_send_incomeunit_rosh_income"                                "INCOME:"

		"DOTA_Tooltip_ability_send_incomeunit_vulture"                                    "Send Vulture"
		"DOTA_Tooltip_ability_send_incomeunit_vulture_Description"                        "Skills: ---"
		"DOTA_Tooltip_ability_send_incomeunit_vulture_tango_cost"                         "TANGO COST:"
		"DOTA_Tooltip_ability_send_incomeunit_vulture_income"                             "INCOME:"
		
		"DOTA_Tooltip_ability_send_incomeunit_lycanwolf"                                  "Send Incomeunit Lycanwolf"
		"DOTA_Tooltip_ability_send_incomeunit_lycanwolf_Description"                      "Skills: Crytical Strike"
		"DOTA_Tooltip_ability_send_incomeunit_lycanwolf_tango_cost"                       "TANGO COST:"
		"DOTA_Tooltip_ability_send_incomeunit_lycanwolf_income"                           "INCOME:"

		"DOTA_Tooltip_ability_main_building_tango_collector_food_cost"                    "FOOD COST:"

		"DOTA_Tooltip_ability_agressive_boar_nethertoxin"                                 "Agressive Boar Nethertoxin"
		"DOTA_Tooltip_ability_agressive_boar_nethertoxin_Description"                     ""
		"DOTA_Tooltip_ability_agressive_boar_nethertoxin_bonus_damage"                    "BONUS DAMAGE:"
		"DOTA_Tooltip_ability_agressive_boar_nethertoxin_non_hero_damage_pct"             "NON HERO DAMAGE PCT:"
		"DOTA_Tooltip_ability_agressive_boar_nethertoxin_max_damage_tooltip"              "MAX DAMAGE:"
		"DOTA_Tooltip_ability_agressive_boar_nethertoxin_damage_hero_80"                  "DAMAGE HERO 80:"
		"DOTA_Tooltip_ability_agressive_boar_nethertoxin_damage_hero_60"                  "DAMAGE HERO 60:"
		"DOTA_Tooltip_ability_agressive_boar_nethertoxin_damage_hero_40"                  "DAMAGE HERO 40:"
		"DOTA_Tooltip_ability_agressive_boar_nethertoxin_damage_hero_20"                  "DAMAGE HERO 20:"
		"DOTA_Tooltip_ability_agressive_boar_nethertoxin_damage_creep_base"               "DAMAGE CREEP BASE:"
		"DOTA_Tooltip_ability_agressive_boar_nethertoxin_damage_creep_80"                 "DAMAGE CREEP 80:"
		"DOTA_Tooltip_ability_agressive_boar_nethertoxin_damage_creep_60"                 "DAMAGE CREEP 60:"
		"DOTA_Tooltip_ability_agressive_boar_nethertoxin_damage_creep_40"                 "DAMAGE CREEP 40:"
		"DOTA_Tooltip_ability_agressive_boar_nethertoxin_damage_creep_20"                 "DAMAGE CREEP 20:"

		"DOTA_Tooltip_ability_brood_spawn_spiderlings"                                    "Brood Spawn Spiderlings"
		"DOTA_Tooltip_ability_brood_spawn_spiderlings_Description"                        ""
		"DOTA_Tooltip_ability_brood_spawn_spiderlings_duration"                           "DURATION:"

		"DOTA_Tooltip_ability_centaur_hoof_stomp_datadriven"                              "Centaur Hoof Stomp Datadriven"
		"DOTA_Tooltip_ability_centaur_hoof_stomp_datadriven_Description"                  ""
		"DOTA_Tooltip_ability_centaur_hoof_stomp_datadriven_radius"                       "RADIUS:"
		"DOTA_Tooltip_ability_centaur_hoof_stomp_datadriven_stun_duration"                "STUN DURATION:"
		"DOTA_Tooltip_ability_centaur_hoof_stomp_datadriven_stomp_damage"                 "STOMP DAMAGE:"

		"DOTA_Tooltip_ability_centaur_warrunner_great_cleave"                             "Centaur Warrunner Great Cleave"
		"DOTA_Tooltip_ability_centaur_warrunner_great_cleave_Description"                 ""
		"DOTA_Tooltip_ability_centaur_warrunner_great_cleave_great_cleave_radius"         "GREAT CLEAVE RADIUS:"
		"DOTA_Tooltip_ability_centaur_warrunner_great_cleave_great_cleave_damage"         "GREAT CLEAVE DAMAGE:"

		"DOTA_Tooltip_ability_flower_treant_skadi"                                        "Flower Treant Skadi"
		"DOTA_Tooltip_ability_flower_treant_skadi_Description"                            ""
		"DOTA_Tooltip_ability_flower_treant_skadi_cold_movement_speed"                    "COLD MOVEMENT SPEED:"
		"DOTA_Tooltip_ability_flower_treant_skadi_cold_attack_speed"                      "COLD ATTACK SPEED:"
		"DOTA_Tooltip_ability_flower_treant_skadi_cold_duration_melee"                    "COLD DURATION MELEE:"
		"DOTA_Tooltip_ability_flower_treant_skadi_cold_duration_ranged"                   "COLD DURATION RANGED:"

		"DOTA_Tooltip_ability_hyena_nethertoxin"                                          "Hyena Nethertoxin"
		"DOTA_Tooltip_ability_hyena_nethertoxin_Description"                              ""
		"DOTA_Tooltip_ability_hyena_nethertoxin_bonus_damage"                             "BONUS DAMAGE:"
		"DOTA_Tooltip_ability_hyena_nethertoxin_non_hero_damage_pct"                      "NON HERO DAMAGE PCT:"
		"DOTA_Tooltip_ability_hyena_nethertoxin_max_damage_tooltip"                       "MAX DAMAGE:"
		"DOTA_Tooltip_ability_hyena_nethertoxin_damage_hero_80"                           "DAMAGE HERO 80:"
		"DOTA_Tooltip_ability_hyena_nethertoxin_damage_hero_60"                           "DAMAGE HERO 60:"
		"DOTA_Tooltip_ability_hyena_nethertoxin_damage_hero_40"                           "DAMAGE HERO 40:"
		"DOTA_Tooltip_ability_hyena_nethertoxin_damage_hero_20"                           "DAMAGE HERO 20:"
		"DOTA_Tooltip_ability_hyena_nethertoxin_damage_creep_base"                        "DAMAGE CREEP BASE:"
		"DOTA_Tooltip_ability_hyena_nethertoxin_damage_creep_80"                          "DAMAGE CREEP 80:"
		"DOTA_Tooltip_ability_hyena_nethertoxin_damage_creep_60"                          "DAMAGE CREEP 60:"
		"DOTA_Tooltip_ability_hyena_nethertoxin_damage_creep_40"                          "DAMAGE CREEP 40:"
		"DOTA_Tooltip_ability_hyena_nethertoxin_damage_creep_20"                          "DAMAGE CREEP 20:"

		"DOTA_Tooltip_ability_iron_bear_fury_swipes"                                      "Iron Bear Fury Swipes"
		"DOTA_Tooltip_ability_iron_bear_fury_swipes_Description"                          ""
		"DOTA_Tooltip_ability_iron_bear_fury_swipes_bonus_reset_time"                     "BONUS RESET TIME:"
		"DOTA_Tooltip_ability_iron_bear_fury_swipes_bonus_reset_time_roshan"              "BONUS RESET TIME ROSHAN:"
		"DOTA_Tooltip_ability_iron_bear_fury_swipes_damage_per_stack"                     "DAMAGE PER STACK:"

		"DOTA_Tooltip_ability_naturebuilder_spawn_bear"                                   "Spawn Bear"
		"DOTA_Tooltip_ability_naturebuilder_spawn_bear_Description"                       "Attack: Normal/Heavy\nSkills: Beserkers Call"
		"DOTA_Tooltip_ability_naturebuilder_spawn_bear_atk_damage_tooltip"                "ATK DAMAGE:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_bear_atk_speed_tooltip"                 "ATK RATE:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_bear_atk_range_tooltip"                 "ATK RANGE:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_bear_health_tooltip"                    "HEALTH:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_bear_armor_tooltip"                     "ARMOR:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_bear_food_cost"                         "FOOD COST:"
		
		"DOTA_Tooltip_ability_naturebuilder_spawn_bug"                                    "Spawn Bug"
		"DOTA_Tooltip_ability_naturebuilder_spawn_bug_Description"                        "Attack: Pierce/Medium\nSkills: Geminate Attack"
		"DOTA_Tooltip_ability_naturebuilder_spawn_bug_atk_damage_tooltip"                 "ATK DAMAGE:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_bug_atk_speed_tooltip"                  "ATK RATE:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_bug_atk_range_tooltip"                  "ATK RANGE:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_bug_health_tooltip"                     "HEALTH:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_bug_armor_tooltip"                      "ARMOR:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_bug_food_cost"                          "FOOD COST:"

		"DOTA_Tooltip_ability_naturebuilder_spawn_centaur"                                "Spawn Centaur"
		"DOTA_Tooltip_ability_naturebuilder_spawn_centaur_Description"                    "Attack: Normal/Heavy\nSkills: Craggy Exterior"
		"DOTA_Tooltip_ability_naturebuilder_spawn_centaur_atk_damage_tooltip"             "ATK DAMAGE:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_centaur_atk_speed_tooltip"              "ATK RATE:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_centaur_atk_range_tooltip"              "ATK RANGE:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_centaur_health_tooltip"                 "HEALTH:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_centaur_armor_tooltip"                  "ARMOR:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_centaur_food_cost"                      "FOOD COST:"

		"DOTA_Tooltip_ability_naturebuilder_spawn_hyena"                                  "Spawn Hyena"
		"DOTA_Tooltip_ability_naturebuilder_spawn_hyena_Description"                      "Attack: Normal/Heavy\nSkills: Nethertoxin"
		"DOTA_Tooltip_ability_naturebuilder_spawn_hyena_atk_damage_tooltip"               "ATK DAMAGE:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_hyena_atk_speed_tooltip"                "ATK RATE:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_hyena_atk_range_tooltip"                "ATK RANGE:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_hyena_health_tooltip"                   "HEALTH:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_hyena_armor_tooltip"                    "ARMOR:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_hyena_food_cost"                        "FOOD COST:"

		"DOTA_Tooltip_ability_naturebuilder_spawn_spider"                                 "Spawn Spider"
		"DOTA_Tooltip_ability_naturebuilder_spawn_spider_Description"                     "Attack: Normal/Heavy\nSkills: Poison Sting"
		"DOTA_Tooltip_ability_naturebuilder_spawn_spider_atk_damage_tooltip"              "ATK DAMAGE:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_spider_atk_speed_tooltip"               "ATK RATE:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_spider_atk_range_tooltip"               "ATK RANGE:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_spider_health_tooltip"                  "HEALTH:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_spider_armor_tooltip"                   "ARMOR:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_spider_food_cost"                       "FOOD COST:"

		"DOTA_Tooltip_ability_naturebuilder_spawn_treant"                                 "Spawn Treant"
		"DOTA_Tooltip_ability_naturebuilder_spawn_treant_Description"                     "Attack: Normal/Heavy\nSkills: Vampiric Aura"
		"DOTA_Tooltip_ability_naturebuilder_spawn_treant_atk_damage_tooltip"              "ATK DAMAGE:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_treant_atk_speed_tooltip"               "ATK RATE:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_treant_atk_range_tooltip"               "ATK RANGE:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_treant_health_tooltip"                  "HEALTH:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_treant_armor_tooltip"                   "ARMOR:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_treant_food_cost"                       "FOOD COST:"

		"DOTA_Tooltip_ability_naturebuilder_upgrade_agressive_boar"                       "Upgrade Agressive Boar"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_agressive_boar_Description"           "Attack: Arcane/Medium\nSkills: Nethertoxin"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_agressive_boar_atk_damage_tooltip"    "ATK DAMAGE:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_agressive_boar_atk_speed_tooltip"     "ATK RATE:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_agressive_boar_atk_range_tooltip"     "ATK RANGE:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_agressive_boar_health_tooltip"        "HEALTH:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_agressive_boar_armor_tooltip"         "ARMOR:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_agressive_boar_food_cost"             "FOOD COST:"

		"DOTA_Tooltip_ability_naturebuilder_upgrade_big_bug"                              "Upgrade Big Bug"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_big_bug_Description"                  "Attack: Pierce/Medium\nSkills: Geminate Attack"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_big_bug_atk_damage_tooltip"           "ATK DAMAGE:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_big_bug_atk_speed_tooltip"            "ATK RATE:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_big_bug_atk_range_tooltip"            "ATK RANGE:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_big_bug_health_tooltip"               "HEALTH:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_big_bug_armor_tooltip"                "ARMOR:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_big_bug_food_cost"                    "FOOD COST:"

		"DOTA_Tooltip_ability_naturebuilder_upgrade_big_centaur"                          "Upgrade Big Centaur"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_big_centaur_Description"              "Attack: Normal/Heavy\nSkills: Hoofstomp, Craggy Exterior"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_big_centaur_atk_damage_tooltip"       "ATK DAMAGE:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_big_centaur_atk_speed_tooltip"        "ATK RATE:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_big_centaur_atk_range_tooltip"        "ATK RANGE:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_big_centaur_health_tooltip"           "HEALTH:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_big_centaur_armor_tooltip"            "ARMOR:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_big_centaur_food_cost"                "FOOD COST:"

		"DOTA_Tooltip_ability_naturebuilder_upgrade_broodmother"                          "Upgrade Broodmother"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_broodmother_Description"              "Attack: Normal/Heavy\nSkills: Spawn Spiderlings"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_broodmother_atk_damage_tooltip"       "ATK DAMAGE:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_broodmother_atk_speed_tooltip"        "ATK RATE:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_broodmother_atk_range_tooltip"        "ATK RANGE:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_broodmother_health_tooltip"           "HEALTH:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_broodmother_armor_tooltip"            "ARMOR:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_broodmother_food_cost"                "FOOD COST:"

		"DOTA_Tooltip_ability_naturebuilder_upgrade_centaur_warrunner"                    "Upgrade Centaur Warrunner"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_centaur_warrunner_Description"        "Attack: Normal/Heavy\nSkills: Greater Cleave"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_centaur_warrunner_atk_damage_tooltip"		"ATK DAMAGE:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_centaur_warrunner_atk_speed_tooltip"		"ATK RATE:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_centaur_warrunner_atk_range_tooltip"		"ATK RANGE:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_centaur_warrunner_health_tooltip"     "HEALTH:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_centaur_warrunner_armor_tooltip"      "ARMOR:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_centaur_warrunner_food_cost"          "FOOD COST:"

		"DOTA_Tooltip_ability_naturebuilder_upgrade_druid_bear"                           "Upgrade Druid Bear"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_druid_bear_Description"               "Attack: Normal/Heavy\nSkills: Beserkers Call, Entangle"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_druid_bear_atk_damage_tooltip"        "ATK DAMAGE:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_druid_bear_atk_speed_tooltip"         "ATK RATE:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_druid_bear_atk_range_tooltip"         "ATK RANGE:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_druid_bear_health_tooltip"            "HEALTH:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_druid_bear_armor_tooltip"             "ARMOR:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_druid_bear_food_cost"                 "FOOD COST:"

		"DOTA_Tooltip_ability_naturebuilder_upgrade_flower_treant"                        "Upgrade Flower Treant"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_flower_treant_Description"            "Attack: Arcane/Light\nSkills: Vampiric Aura, Cold Attack"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_flower_treant_atk_damage_tooltip"     "ATK DAMAGE:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_flower_treant_atk_speed_tooltip"      "ATK RATE:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_flower_treant_atk_range_tooltip"      "ATK RANGE:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_flower_treant_health_tooltip"         "HEALTH:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_flower_treant_armor_tooltip"          "ARMOR:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_flower_treant_food_cost"              "FOOD COST:"

		"DOTA_Tooltip_ability_naturebuilder_upgrade_iron_bear"                            "Upgrade Iron Bear"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_iron_bear_Description"                "Attack: Normal/Heavy\nSkills: Fury Swipes"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_iron_bear_atk_damage_tooltip"         "ATK DAMAGE:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_iron_bear_atk_speed_tooltip"          "ATK RATE:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_iron_bear_atk_range_tooltip"          "ATK RANGE:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_iron_bear_health_tooltip"             "HEALTH:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_iron_bear_armor_tooltip"              "ARMOR:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_iron_bear_food_cost"                  "FOOD COST:"

		"DOTA_Tooltip_ability_naturebuilder_upgrade_shroom"                               "Upgrade Shroom"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_shroom_Description"                   "Attack: Arcane/Heavy\nSkills: Corrosive Skin"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_shroom_atk_damage_tooltip"            "ATK DAMAGE:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_shroom_atk_speed_tooltip"             "ATK RATE:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_shroom_atk_range_tooltip"             "ATK RANGE:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_shroom_health_tooltip"                "HEALTH:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_shroom_armor_tooltip"                 "ARMOR:"
