"lang"
{
	"Language"		"Spanish"
		"DOTA_Tooltip_ability_iron_bear_fury_swipes_bonus_reset_time_roshan"              "BONUS tiempo de reseteo a ROSHAN:"
		"DOTA_Tooltip_ability_iron_bear_fury_swipes_damage_per_stack"                     "da�o por apilacion:"

		"DOTA_Tooltip_ability_naturebuilder_spawn_bear"                                   "invokar oso"
		"DOTA_Tooltip_ability_naturebuilder_spawn_bear_Description"                       "habilidad: llamada de berserker"
		"DOTA_Tooltip_ability_naturebuilder_spawn_bear_atk_damage_tooltip"                "da�o de ataque:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_bear_atk_speed_tooltip"                 "velocidad de ataque:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_bear_atk_range_tooltip"                 "rango:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_bear_health_tooltip"                    "vida:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_bear_armor_tooltip"                     "ARMadura:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_bear_food_cost"                         "costo de comida:"
		
		"DOTA_Tooltip_ability_naturebuilder_spawn_bug"                                    "invocar insecto"
		"DOTA_Tooltip_ability_naturebuilder_spawn_bug_Description"                        "Skills: Geminate Attack"
		"DOTA_Tooltip_ability_naturebuilder_spawn_bug_atk_damage_tooltip"                 "da�o de ataque:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_bug_atk_speed_tooltip"                  "velocidad de ataque:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_bug_atk_range_tooltip"                  "rango:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_bug_health_tooltip"                     "vida:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_bug_armor_tooltip"                      "ARmadura:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_bug_food_cost"                          "costo de comida:"

		"DOTA_Tooltip_ability_naturebuilder_spawn_centaur"                                "invokar centauro"
		"DOTA_Tooltip_ability_naturebuilder_spawn_centaur_Description"                    "habilidad: exterior escarpado"
		"DOTA_Tooltip_ability_naturebuilder_spawn_centaur_atk_damage_tooltip"             "da�o de ataque:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_centaur_atk_speed_tooltip"              "velocidad de ataque:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_centaur_atk_range_tooltip"              "rango:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_centaur_health_tooltip"                 "vida:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_centaur_armor_tooltip"                  "ARMadura:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_centaur_food_cost"                      "costo de comida:"

		"DOTA_Tooltip_ability_naturebuilder_spawn_hyena"                                  "invocar Hyena"
		"DOTA_Tooltip_ability_naturebuilder_spawn_hyena_Description"                      "habilidad: Nethertoxin"
		"DOTA_Tooltip_ability_naturebuilder_spawn_hyena_atk_damage_tooltip"               "da�o de ataque:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_hyena_atk_speed_tooltip"                "velocidad de ataque:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_hyena_atk_range_tooltip"                "rango:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_hyena_health_tooltip"                   "vida:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_hyena_armor_tooltip"                    "armadura:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_hyena_food_cost"                        "costo de comida:"

		"DOTA_Tooltip_ability_naturebuilder_spawn_spider"                                 "invocar ara�a"
		"DOTA_Tooltip_ability_naturebuilder_spawn_spider_Description"                     "habilidad: toque venenoso"
		"DOTA_Tooltip_ability_naturebuilder_spawn_spider_atk_damage_tooltip"              "da�o de ataque:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_spider_atk_speed_tooltip"               "velocidad de ataque:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_spider_atk_range_tooltip"               "rango:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_spider_health_tooltip"                  "vida:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_spider_armor_tooltip"                   "ARMadura:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_spider_food_cost"                       "costo de comida:"

		"DOTA_Tooltip_ability_naturebuilder_spawn_treant"                                 "invocar Treant"
		"DOTA_Tooltip_ability_naturebuilder_spawn_treant_Description"                     "habilidad: aura vampirica"
		"DOTA_Tooltip_ability_naturebuilder_spawn_treant_atk_damage_tooltip"              "da�o de ataque:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_treant_atk_speed_tooltip"               "velocidad de ataque:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_treant_atk_range_tooltip"               "rango:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_treant_health_tooltip"                  "vida:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_treant_armor_tooltip"                   "ARMadura:"
		"DOTA_Tooltip_ability_naturebuilder_spawn_treant_food_cost"                       "costo de comida:"

		"DOTA_Tooltip_ability_naturebuilder_upgrade_agressive_boar"                       "mejorar jabali agresivo"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_agressive_boar_Description"           "habilidad: Nethertoxin"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_agressive_boar_atk_damage_tooltip"    "da�o de ataque:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_agressive_boar_atk_speed_tooltip"     "velocidad de ataque:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_agressive_boar_atk_range_tooltip"     "rango:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_agressive_boar_health_tooltip"        "vida:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_agressive_boar_armor_tooltip"         "ARMadura:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_agressive_boar_food_cost"             "costo de comida:"

		"DOTA_Tooltip_ability_naturebuilder_upgrade_big_bug"                              "mejorar gran insecto"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_big_bug_Description"                  "habilidad: Geminate Attack"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_big_bug_atk_damage_tooltip"           "da�o de ataque:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_big_bug_atk_speed_tooltip"            "velocidad de ataque:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_big_bug_atk_range_tooltip"            "rango:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_big_bug_health_tooltip"               "vida:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_big_bug_armor_tooltip"                "ARmadura:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_big_bug_food_cost"                    "costo de comida:"

		"DOTA_Tooltip_ability_naturebuilder_upgrade_big_centaur"                          "mejorar gran centauro"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_big_centaur_Description"              "Skills: pisoton, exterior escarpado"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_big_centaur_atk_damage_tooltip"       "da�o de ataque:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_big_centaur_atk_speed_tooltip"        "velocidad de ataque:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_big_centaur_atk_range_tooltip"        "rango:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_big_centaur_health_tooltip"           "vida:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_big_centaur_armor_tooltip"            "armadura:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_big_centaur_food_cost"                "costo de comida:"

		"DOTA_Tooltip_ability_naturebuilder_upgrade_broodmother"                          "mejorar Broodmother"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_broodmother_Description"              "habilidad: invocar ara�itas"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_broodmother_atk_damage_tooltip"       "da�o de ataque:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_broodmother_atk_speed_tooltip"        "velocidad de ataque:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_broodmother_atk_range_tooltip"        "rango:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_broodmother_health_tooltip"           "vida:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_broodmother_armor_tooltip"            "ARMadura:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_broodmother_food_cost"                "costo de comida:"

		"DOTA_Tooltip_ability_naturebuilder_upgrade_centaur_warrunner"                    "mejorar Centauro Warrunner"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_centaur_warrunner_Description"        "habilidad: gran hendidura"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_centaur_warrunner_atk_damage_tooltip"		"da�o de ataque:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_centaur_warrunner_atk_speed_tooltip"		"velocidad de ataque:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_centaur_warrunner_atk_range_tooltip"		"rango:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_centaur_warrunner_health_tooltip"     "vida:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_centaur_warrunner_armor_tooltip"      "ARMadura:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_centaur_warrunner_food_cost"          "costo de comida:"

		"DOTA_Tooltip_ability_naturebuilder_upgrade_druid_bear"                           "mejorar druida oso"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_druid_bear_Description"               "habilidad: llamada de berserker, enredar"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_druid_bear_atk_damage_tooltip"        "da�o de ataque:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_druid_bear_atk_speed_tooltip"         "velocidad de ataque:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_druid_bear_atk_range_tooltip"         "rango:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_druid_bear_health_tooltip"            "vida:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_druid_bear_armor_tooltip"             "ARMadura:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_druid_bear_food_cost"                 "costo de comida:"

		"DOTA_Tooltip_ability_naturebuilder_upgrade_flower_treant"                        "mejorar Flower Treant"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_flower_treant_Description"            "habilidad: aura vampirica, ataque frio"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_flower_treant_atk_damage_tooltip"     "da�o de ataque:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_flower_treant_atk_speed_tooltip"      "velocidad de ataque:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_flower_treant_atk_range_tooltip"      "rango:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_flower_treant_health_tooltip"         "vida:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_flower_treant_armor_tooltip"          "ARMadura:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_flower_treant_food_cost"              "costo de comida:"

		"DOTA_Tooltip_ability_naturebuilder_upgrade_iron_bear"                            "mejorar oso de hierro"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_iron_bear_Description"                "habilidades: manotazos furiosos"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_iron_bear_atk_damage_tooltip"         "da�o de ataque:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_iron_bear_atk_speed_tooltip"          "velocidad de ataque:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_iron_bear_atk_range_tooltip"          "rango:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_iron_bear_health_tooltip"             "vida:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_iron_bear_armor_tooltip"              "ARMadura:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_iron_bear_food_cost"                  "costo de comida:"

		"DOTA_Tooltip_ability_naturebuilder_upgrade_shroom"                               "mejorar hongo"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_shroom_Description"                   "habilidades: piel corrosiva"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_shroom_atk_damage_tooltip"            "da�o de ataque:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_shroom_atk_speed_tooltip"             "velocidad de ataque:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_shroom_atk_range_tooltip"             "rango:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_shroom_health_tooltip"                "vida:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_shroom_armor_tooltip"                 "ARMadura:"
		"DOTA_Tooltip_ability_naturebuilder_upgrade_shroom_food_cost"                     "costo de comida:"

		"DOTA_Tooltip_ability_shroom_corrosive_skin"                                      "hongo piel corrosiva"
		"DOTA_Tooltip_ability_shroom_corrosive_skin_Description"                          ""
		"DOTA_Tooltip_ability_shroom_corrosive_skin_duration"                             "duracion:"
		"DOTA_Tooltip_ability_shroom_corrosive_skin_bonus_movement_speed"                 "bonus de velocidad de movimiento:"
		"DOTA_Tooltip_ability_shroom_corrosive_skin_bonus_attack_speed"                   "bonus de velocida de ataque:"
		"DOTA_Tooltip_ability_shroom_corrosive_skin_bonus_magic_resistance"               "bonus de resistencia magica:"
		"DOTA_Tooltip_ability_shroom_corrosive_skin_damage"                               "da�o:"
		"DOTA_Tooltip_ability_shroom_corrosive_skin_max_range_tooltip"                    "rango magico:"

		"DOTA_Tooltip_ability_treant_vampiric_aura"                                       "Treant aura vampirica"
		"DOTA_Tooltip_ability_treant_vampiric_aura_Description"                           ""
		"DOTA_Tooltip_ability_treant_vampiric_aura_vampiric_aura_radius"                  "radio de aura vampirica:"
		"DOTA_Tooltip_ability_treant_vampiric_aura_vampiric_aura"                         "aura vampirica:"

		"DOTA_Tooltip_ability_insta_kill"                                                 "Insta Kill"
		"DOTA_Tooltip_ability_insta_kill_Description"                                     ""

		"DOTA_Tooltip_ability_sell"                                                       "vender"
		"DOTA_Tooltip_ability_sell_Description"                                           "vender esta unidad por el 50% de su precio. (100% si la vendes antes de que pasen 6 segundos de comprarla)"

		"DOTA_Tooltip_ability_spawn_bird_ranged"                                          "invocar ave de rango"
		"DOTA_Tooltip_ability_spawn_bird_ranged_Description"                              ""
		"DOTA_Tooltip_ability_spawn_bird_ranged_gold_cost"                                "costo de oro:"
		"DOTA_Tooltip_ability_spawn_bird_ranged_unitID"                                   ""

		"DOTA_Tooltip_ability_spawn_human_footman"                                        "invocar humano a pie"
		"DOTA_Tooltip_ability_spawn_human_footman_Description"                            ""
		"DOTA_Tooltip_ability_spawn_human_footman_gold_cost"                              "costo de oro:"
		"DOTA_Tooltip_ability_spawn_human_footman_unitID"                                 ""

		"DOTA_Tooltip_ability_spend_tangos"                                               "gastar Tangos"
		"DOTA_Tooltip_ability_spend_tangos_Description"                                   ""
		"DOTA_Tooltip_ability_spend_tangos_tango_cost"                                    "costo de TANGO:"
		"DOTA_Tooltip_ability_spend_tangos_income"                                        "INgreso:"
		"DOTA_Tooltip_ability_spend_tangos_unitID"                                        ""

		"DOTA_Tooltip_ability_assassin_backstab"                                          "pu�alada asesina"
		"DOTA_Tooltip_ability_assassin_backstab_Description"                              ""
		"DOTA_Tooltip_ability_assassin_backstab_extra_damage"                             "da�o extra:"
		"DOTA_Tooltip_ability_assassin_backstab_angle"                                    "angulo:"

		"DOTA_Tooltip_ability_hill_troll_shaman_regen_aura"                               "aura de regeneracion de troll chaman de las colinas"
		"DOTA_Tooltip_ability_hill_troll_shaman_regen_aura_Description"                   ""
		"DOTA_Tooltip_ability_hill_troll_shaman_regen_aura_health_radius"                 "radio de vida:"
		"DOTA_Tooltip_ability_hill_troll_shaman_regen_aura_health_regen_amount"           "cantidad de regeneracion de vida:"
		"DOTA_Tooltip_ability_hill_troll_shaman_regen_aura_armor_buff"                    "bonificacion de armadura:"

		"DOTA_Tooltip_ability_hydra_splitshot"                                            "Hydra tiro partido"
		"DOTA_Tooltip_ability_hydra_splitshot_Description"                                ""
		"DOTA_Tooltip_ability_hydra_splitshot_radius"                                     "radio:"
		"DOTA_Tooltip_ability_hydra_splitshot_targets"                                    "objetivos:"
		"DOTA_Tooltip_ability_hydra_splitshot_projectile_speed"                           "velocidad del proyectil:"
		"DOTA_Tooltip_ability_hydra_splitshot_damge_perc"                                 "da�o PERC:"

		"DOTA_Tooltip_ability_techies_suicide_datadriven"                                 "Techies Suicide Datadriven"
		"DOTA_Tooltip_ability_techies_suicide_datadriven_Description"                     ""
		"DOTA_Tooltip_ability_techies_suicide_datadriven_small_radius"                    "radio peque�o:"
		"DOTA_Tooltip_ability_techies_suicide_datadriven_big_radius"                      "radio grandre:"
		"DOTA_Tooltip_ability_techies_suicide_datadriven_damage"                          "da�o:"
		"DOTA_Tooltip_ability_techies_suicide_datadriven_partial_damage"                  "da�o parcial:"
		"DOTA_Tooltip_ability_techies_suicide_datadriven_respawn_time_percentage"         "porcentaje de tiempo de reaparicion:"
		"DOTA_Tooltip_ability_techies_suicide_datadriven_respawn_time_percentage_tooltip"		"porcentaje de tiempo de reaparicion:"
		"DOTA_Tooltip_ability_techies_suicide_datadriven_vision_radius"                   "radio de vision:"
		"DOTA_Tooltip_ability_techies_suicide_datadriven_vision_duration"                 "duracion de vision:"
		
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_earthelemental"                    "mejorar elemental de tierra"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_earthelemental_Description"        "habilidad: Caustic Finale"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_earthelemental_atk_damage_tooltip"		"da�o de ataque:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_earthelemental_atk_speed_tooltip"		"velocidad de ataque:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_earthelemental_atk_range_tooltip"		"rango de ataque:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_earthelemental_health_tooltip"     "vida:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_earthelemental_armor_tooltip"      "ARMadura:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_earthelemental_food_cost"          "costo de comida:"

		"DOTA_Tooltip_ability_elementalbuilder_upgrade_earthgod"                          "mejorar dios de la tierra"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_earthgod_Description"              "habilidad: avalancha"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_earthgod_atk_damage_tooltip"       "da�o de ataque:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_earthgod_atk_speed_tooltip"        "velocidad de ataque:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_earthgod_atk_range_tooltip"        "rango:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_earthgod_health_tooltip"           "vida:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_earthgod_armor_tooltip"            "ARMadura:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_earthgod_food_cost"                "costo de comida:"

		"DOTA_Tooltip_ability_elementalbuilder_upgrade_earthwarrior"                      "mejorar guerrero de tierra"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_earthwarrior_Description"          "habilidade: ---"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_earthwarrior_atk_damage_tooltip"   "da�o de ataque:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_earthwarrior_atk_speed_tooltip"    "velocidad de ataque:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_earthwarrior_atk_range_tooltip"    "rango de ataque:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_earthwarrior_health_tooltip"       "vida:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_earthwarrior_armor_tooltip"        "ARMadura:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_earthwarrior_food_cost"            "costo de comida:"

		"DOTA_Tooltip_ability_elementalbuilder_upgrade_fireelemental"                     "mejorar elemental de fuego"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_fireelemental_Description"         "habiliadad: proteccion flamigera"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_fireelemental_atk_damage_tooltip"		"da�o de ataque:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_fireelemental_atk_speed_tooltip"   "velocidad de ataque:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_fireelemental_atk_range_tooltip"   "rango:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_fireelemental_health_tooltip"      "vida:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_fireelemental_armor_tooltip"       "ARMadura:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_fireelemental_food_cost"           "costo de comida:"

		"DOTA_Tooltip_ability_elementalbuilder_upgrade_firegod"                           "mejorar dios del fuego"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_firegod_Description"               "habilidad: supernova"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_firegod_atk_damage_tooltip"        "da�o de ataque:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_firegod_atk_speed_tooltip"         "velocidad de ataque:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_firegod_atk_range_tooltip"         "rango:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_firegod_health_tooltip"            "vida:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_firegod_armor_tooltip"             "ARMadura:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_firegod_food_cost"                 "costo de comida:"

		"DOTA_Tooltip_ability_elementalbuilder_upgrade_firewarrior"                       "mejorar guerrero de fuego"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_firewarrior_Description"           "habilidad: juego de pu�os"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_firewarrior_atk_damage_tooltip"    "da�o de ataque:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_firewarrior_atk_speed_tooltip"     "velocidad de ataque:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_firewarrior_atk_range_tooltip"     "rango:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_firewarrior_health_tooltip"        "vida:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_firewarrior_armor_tooltip"         "ARMadura:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_firewarrior_food_cost"             "costo de comida:"

		"DOTA_Tooltip_ability_elementalbuilder_upgrade_thunderelemental"                  "mejorar elemental del trueno"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_thunderelemental_Description"      "habilidad: decreto diabolico"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_thunderelemental_atk_damage_tooltip"		"da�o de ataque:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_thunderelemental_atk_speed_tooltip"		"velocidad de ataque:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_thunderelemental_atk_range_tooltip"		"rango:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_thunderelemental_health_tooltip"   "vida:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_thunderelemental_armor_tooltip"    "ARMadura:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_thunderelemental_food_cost"        "costo de comida:"

		"DOTA_Tooltip_ability_elementalbuilder_upgrade_thundergod"                        "mejorar dios del trueno"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_thundergod_Description"            "habilidad: arco relampagueante"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_thundergod_atk_damage_tooltip"     "da�o de ataque:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_thundergod_atk_speed_tooltip"      "velocidad de ataque:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_thundergod_atk_range_tooltip"      "rango:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_thundergod_health_tooltip"         "vida:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_thundergod_armor_tooltip"          "ARMadura:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_thundergod_food_cost"              "costo de comida:"

		"DOTA_Tooltip_ability_elementalbuilder_upgrade_thunderwarrior"                    "mejorar guerrero del trueno"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_thunderwarrior_Description"        "habilidad: remanente estatico"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_thunderwarrior_atk_damage_tooltip"		"da�o de ataque:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_thunderwarrior_atk_speed_tooltip"		"velocidad de ataque:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_thunderwarrior_atk_range_tooltip"		"rango:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_thunderwarrior_health_tooltip"     "vida:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_thunderwarrior_armor_tooltip"      "ARMadura:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_thunderwarrior_food_cost"          "costo de comida:"

		"DOTA_Tooltip_ability_elementalbuilder_upgrade_voidelemental"                     "mejorar elemental del vacio"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_voidelemental_Description"         "habilidad: agotar cerebro"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_voidelemental_atk_damage_tooltip"		"da�o de ataque:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_voidelemental_atk_speed_tooltip"   "velocidad de ataque:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_voidelemental_atk_range_tooltip"   "rango:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_voidelemental_health_tooltip"      "vida:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_voidelemental_armor_tooltip"       "ARMadura:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_voidelemental_food_cost"           "costo de comida:"

		"DOTA_Tooltip_ability_elementalbuilder_upgrade_voidgod"                           "mejorar dios del vacio"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_voidgod_Description"               "habilidad: agujero negro"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_voidgod_atk_damage_tooltip"        "da�o de ataque:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_voidgod_atk_speed_tooltip"         "velocidad de ataque:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_voidgod_atk_range_tooltip"         "rango:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_voidgod_health_tooltip"            "vida:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_voidgod_armor_tooltip"             "ARmadura:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_voidgod_food_cost"                 "costo de comida:"

		"DOTA_Tooltip_ability_elementalbuilder_upgrade_voidwarrior"                       "mejorar guerrero del vacio"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_voidwarrior_Description"           "habilidad: bloqueo de tiempo"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_voidwarrior_atk_damage_tooltip"    "da�o de ataque:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_voidwarrior_atk_speed_tooltip"     "velocidad de ataque:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_voidwarrior_atk_range_tooltip"     "rango de ataque:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_voidwarrior_health_tooltip"        "vida:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_voidwarrior_armor_tooltip"         "ARMadura:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_voidwarrior_food_cost"             "costo de comida:"

		"DOTA_Tooltip_ability_elementalbuilder_upgrade_waterelemental"                    "mejorar elemental de agua"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_waterelemental_Description"        "habilidades: ---"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_waterelemental_atk_damage_tooltip"		"da�o de ataque:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_waterelemental_atk_speed_tooltip"		"velocidad de ataque:"
		"DOTA_Tooltip_ability_elementalbuilder_upgrade_waterelemental_atk_range_tooltip"		"rango:"
